Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
34,0.779047619,0.781904762,0.755238095,0.772380952,0.835238095,0.785714286,0.765714286,0.75047619,0.744761905,0.817142857,0.77047619,0.774285714,0.759047619,0.763809524,0.815238095,0.10952381,0.747619048,0.762857143,0.10952381,0.832380952
35,0.782857143,0.782857143,0.756190476,0.778095238,0.836190476,0.785714286,0.767619048,0.754285714,0.763809524,0.820952381,0.776190476,0.779047619,0.753333333,0.762857143,0.817142857,0.10952381,0.756190476,0.765714286,0.10952381,0.83047619
36,0.779047619,0.782857143,0.764761905,0.776190476,0.832380952,0.785714286,0.768571429,0.748571429,0.732380952,0.820952381,0.776190476,0.778095238,0.75047619,0.761904762,0.82,0.10952381,0.756190476,0.76952381,0.10952381,0.831428571
37,0.780952381,0.781904762,0.765714286,0.773333333,0.837142857,0.785714286,0.767619048,0.763809524,0.752380952,0.82,0.768571429,0.775238095,0.747619048,0.761904762,0.818095238,0.10952381,0.757142857,0.768571429,0.10952381,0.834285714
38,0.779047619,0.787619048,0.77047619,0.774285714,0.838095238,0.785714286,0.774285714,0.758095238,0.751428571,0.82,0.775238095,0.772380952,0.747619048,0.75047619,0.82,0.10952381,0.741904762,0.768571429,0.10952381,0.834285714
39,0.781904762,0.784761905,0.762857143,0.776190476,0.835238095,0.784761905,0.774285714,0.747619048,0.759047619,0.822857143,0.777142857,0.774285714,0.74952381,0.767619048,0.822857143,0.10952381,0.753333333,0.76,0.10952381,0.833333333
40,0.78,0.78,0.759047619,0.775238095,0.833333333,0.784761905,0.76952381,0.756190476,0.75047619,0.825714286,0.780952381,0.776190476,0.75047619,0.752380952,0.823809524,0.10952381,0.756190476,0.767619048,0.10952381,0.833333333
41,0.784761905,0.784761905,0.767619048,0.776190476,0.83047619,0.785714286,0.76952381,0.75047619,0.74952381,0.826666667,0.777142857,0.773333333,0.751428571,0.763809524,0.825714286,0.10952381,0.757142857,0.77047619,0.10952381,0.834285714
42,0.785714286,0.784761905,0.760952381,0.775238095,0.833333333,0.785714286,0.771428571,0.754285714,0.760952381,0.827619048,0.774285714,0.774285714,0.754285714,0.77047619,0.828571429,0.10952381,0.752380952,0.766666667,0.10952381,0.833333333
43,0.78952381,0.782857143,0.765714286,0.773333333,0.835238095,0.787619048,0.776190476,0.755238095,0.716190476,0.82952381,0.776190476,0.772380952,0.75047619,0.764761905,0.82952381,0.10952381,0.743809524,0.74952381,0.10952381,0.833333333
