Step,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP,Ditto,cluster,median,trim,FedCAP
10,0.546422406,0.65005755,0.64195281,0.64406292,0.649673892,0.584452331,0.585411471,0.575004796,0.578409745,0.643823134,0.58656244,0.58656244,0.574621139,0.579992327,0.641665068,0.129963553,0.645070017,0.562392097,0.13178592,0.649817763
11,0.562104354,0.67873585,0.66914445,0.67173413,0.674515634,0.605505467,0.60545751,0.594091694,0.596873202,0.670583157,0.606464608,0.606464608,0.593564167,0.599894495,0.66876079,0.103731057,0.67135047,0.579992327,0.109533858,0.67441972
12,0.565557261,0.68909457,0.67859198,0.68127758,0.682428544,0.612555151,0.613562248,0.600565893,0.604402455,0.677249185,0.61418569,0.613610205,0.600709764,0.608143104,0.676769614,0.079560714,0.681085747,0.583445233,0.08915212,0.681469403
13,0.584260503,0.72616536,0.71547094,0.71753309,0.718204489,0.641137541,0.642624209,0.628860541,0.633128717,0.711922118,0.643199693,0.642624209,0.628620756,0.637013236,0.712018032,0.07121619,0.716717821,0.608143104,0.071024362,0.715902551
14,0.595434491,0.73335891,0.72112987,0.72573374,0.726117399,0.653654326,0.653558412,0.640226357,0.644830232,0.720506426,0.654901209,0.654805294,0.640705927,0.649625935,0.718492231,0.06282371,0.725637829,0.619317092,0.064022636,0.72319202
15,0.613706119,0.74971226,0.73791483,0.742183,0.743286016,0.670918857,0.671973911,0.657394974,0.662574333,0.738634184,0.673076923,0.672069825,0.657203146,0.667561865,0.736955688,0.063974679,0.742710531,0.635478611,0.064358335,0.74079225
16,0.617398811,0.75388452,0.74381354,0.74745828,0.748561289,0.677920583,0.678591982,0.665164013,0.669432189,0.745348168,0.681085747,0.681277575,0.664876271,0.673844236,0.742374832,0.056301554,0.748657203,0.639411088,0.057260694,0.744772684
17,0.62257817,0.76079033,0.7486572,0.75340495,0.756234414,0.685162095,0.685689622,0.67135047,0.675139075,0.752397852,0.689094571,0.689046614,0.670487243,0.67878381,0.750191828,0.043257242,0.755706887,0.645070017,0.041578745,0.752014195
18,0.6279014,0.76409937,0.75263764,0.75657011,0.759591406,0.691732208,0.690964895,0.675858431,0.680366392,0.755419144,0.694082102,0.694369845,0.676002302,0.685929407,0.754651832,0.043257242,0.760598504,0.64986572,0.041099175,0.755898715
19,0.633991943,0.76702475,0.7547957,0.75877614,0.764626894,0.699836946,0.699021677,0.683004028,0.688998657,0.761317859,0.70170727,0.701275657,0.681996931,0.692547477,0.758056781,0.043257242,0.764770765,0.652839056,0.041099175,0.762181086
20,0.637636678,0.77105314,0.75810474,0.76333205,0.767408402,0.705208134,0.706598887,0.686744677,0.694417802,0.763811625,0.708996739,0.708517169,0.684730481,0.698206407,0.761749472,0.043257242,0.768943027,0.656339919,0.041099175,0.766017648
21,0.639507002,0.77393056,0.76088625,0.76630539,0.771197007,0.707989641,0.710675235,0.689813927,0.697343181,0.767312488,0.713312872,0.712401688,0.687703817,0.70170727,0.766353347,0.035727988,0.772108191,0.656915404,0.03424132,0.769614425
22,0.642288509,0.77532131,0.76170152,0.76836754,0.772587761,0.712161903,0.714415883,0.692067907,0.700508345,0.769614425,0.71657395,0.716621907,0.691780165,0.705016305,0.768799156,0.035727988,0.773498945,0.659648955,0.03424132,0.770429695
23,0.644974103,0.77699981,0.76213313,0.76999808,0.775321312,0.716813735,0.717629004,0.695856513,0.703098024,0.772252062,0.72012277,0.723048149,0.695376942,0.709428352,0.772731632,0.035727988,0.775657011,0.660608095,0.03424132,0.772204105
24,0.646844427,0.77815078,0.76352388,0.7704297,0.778486476,0.720314598,0.722520622,0.699597161,0.706694801,0.773450988,0.724630731,0.727508153,0.699261462,0.71220986,0.774649914,0.035727988,0.777910992,0.663965087,0.03424132,0.7742183
